,neighborhood,section,city,latitude,longitude,venue_id,venue_name,venue_lat,venue_lon,venue_cat_id,venue_cat_name
28,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4f257f7ce4b0ed33997a37a2,Jalpaan,17.430403204135402,78.45617501760782,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
29,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c7a23b12d3ba1433b9190d0,Roll Call,17.42617004639488,78.44810710113613,4bf58dd8d48988d10f941735,Indian Restaurant
30,ameerpet,Central,Hyderabad,17.4375012,78.4482505,507674a5e4b03a8f004afb40,Subway,17.42554852715919,78.4571914085059,4bf58dd8d48988d1c5941735,Sandwich Place
31,ameerpet,Central,Hyderabad,17.4375012,78.4482505,561a1a5e498e9e35fe86f428,Paradise Restaurant,17.444502885324784,78.46242814829847,54135bf5e4b08f3d2429dfe6,Hyderabadi Restaurant
32,ameerpet,Central,Hyderabad,17.4375012,78.4482505,520a6b1811d233c2be22eb3e,Ziti,17.424055055440416,78.43887150959745,4bf58dd8d48988d1c4941735,Restaurant
33,ameerpet,Central,Hyderabad,17.4375012,78.4482505,51a9b0f3498ed257cde8bfe4,Domino's Pizza,17.4418192525152,78.44616470262514,4bf58dd8d48988d1ca941735,Pizza Place
34,ameerpet,Central,Hyderabad,17.4375012,78.4482505,54faa278498e3f72af21dcc5,WOFL,17.42494441549373,78.43814816597407,4bf58dd8d48988d143941735,Breakfast Spot
35,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4d1ef2a16e8c3704c29bec9f,Rajdhani,17.426479112177216,78.4382998852206,54135bf5e4b08f3d2429dff1,Rajasthani Restaurant
36,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4de390ccd4c0704405862329,Subway,17.426144488587695,78.4480202217549,4bf58dd8d48988d1c5941735,Sandwich Place
37,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4e493212c65bd6ffbeb4a679,Westside,17.42999645708228,78.45624773628133,4bf58dd8d48988d103951735,Clothing Store
38,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4cbdc1747148f04de6cdeeab,Mainland China,17.431588393827298,78.45626994043373,4bf58dd8d48988d145941735,Chinese Restaurant
39,ameerpet,Central,Hyderabad,17.4375012,78.4482505,50680a79e4b0bf441accda40,Thai Pavilion,17.443167,78.460734,4bf58dd8d48988d149941735,Thai Restaurant
